cinema_id,title,source,movie_id,movie_code,genre,duration,age_rating,format,show_date,id,created_at
6978cb01-f034-4c49-b910-16a221c2739b,ENHYPEN: IMMERSION IN CINEMAS,cgv,,26016900,Music,53 min,13+,2D,2026-05-17,bf30f09a-56ee-4616-a505-369887bff00a,2026-05-17T06:20:10.847148
6978cb01-f034-4c49-b910-16a221c2739b,ENHYPEN: IMMERSION IN CINEMAS,cgv,,26016900,Music,53 min,13+,SCREENX 2D,2026-05-17,134a9dd9-cafa-4300-9f38-9df599deeed7,2026-05-17T06:20:10.847174
6978cb01-f034-4c49-b910-16a221c2739b,THE SHEEP DETECTIVES,cgv,,26019500,Comedy,109 min,SU,2D,2026-05-17,7118e21a-b1fb-405b-9108-4b453f309ebe,2026-05-17T06:20:10.847570
6978cb01-f034-4c49-b910-16a221c2739b,SEMUA AKAN BAIK BAIK SAJA,cgv,,26018100,Drama,113 min,13+,2D,2026-05-17,e5b85d86-646f-4956-a872-2c8c7671510d,2026-05-17T06:20:10.847889
6978cb01-f034-4c49-b910-16a221c2739b,MORTAL KOMBAT II,cgv,,26018200,Action,116 min,17+,2D,2026-05-17,f5836046-ea26-4425-93c1-e806c0626db9,2026-05-17T06:20:10.849103
6978cb01-f034-4c49-b910-16a221c2739b,MORTAL KOMBAT II,cgv,,26018200,Action,116 min,17+,SCREENX 2D,2026-05-17,cd581a4a-d027-45fd-ad6c-a65fb54a8a57,2026-05-17T06:20:10.849128
6978cb01-f034-4c49-b910-16a221c2739b,MORTAL KOMBAT II,cgv,,26018200,Action,116 min,17+,4DX 2D,2026-05-17,fe2cf5f6-b8a7-44d4-9073-783b1deb7aa9,2026-05-17T06:20:10.849193
6978cb01-f034-4c49-b910-16a221c2739b,YANG LAIN BOLEH HILANG ASAL KAU JANGAN,cgv,,26018300,Drama,113 min,13+,2D,2026-05-17,daf9f5e6-399f-42e4-8799-9a2ff1fa1757,2026-05-17T06:20:10.849767
6978cb01-f034-4c49-b910-16a221c2739b,GOHAN,cgv,,26022500,Drama,140 min,SU,2D,2026-05-17,b960268f-a76d-4657-bda7-4ccc25f3c9c4,2026-05-17T06:20:10.850384
6978cb01-f034-4c49-b910-16a221c2739b,TOP GUN (RE-RELEASE),cgv,,26022700,Action,109 min,17+,2D,2026-05-17,ce37a754-33f9-4633-8b2d-c1406f09cf42,2026-05-17T06:20:10.854921
6978cb01-f034-4c49-b910-16a221c2739b,TOP GUN (RE-RELEASE),cgv,,26022700,Action,109 min,17+,4DX 2D,2026-05-17,16f2f9ab-40b4-47b5-bfda-88ea2d97e5fe,2026-05-17T06:20:10.855051
6978cb01-f034-4c49-b910-16a221c2739b,TOP GUN (RE-RELEASE),cgv,,26022700,Action,109 min,17+,SCREENX 2D,2026-05-17,4fa1f880-b5b3-42fa-bd3c-aabe9e8d603c,2026-05-17T06:20:10.855105
6978cb01-f034-4c49-b910-16a221c2739b,MOBILE SUIT GUNDAM HATHAWAY,cgv,,26021100,Animation,95 min,13+,2D,2026-05-17,5223c972-c615-4102-bd92-b68ddee6b95d,2026-05-17T06:20:10.855790
6978cb01-f034-4c49-b910-16a221c2739b,THE DEVIL WEARS PRADA 2,cgv,,26019800,Drama,119 min,13+,2D,2026-05-17,4f58d7c2-251b-4a72-bf97-55a61bf98bc1,2026-05-17T06:20:10.857544
6978cb01-f034-4c49-b910-16a221c2739b,SALMOKJI: WHISPERING WATER,cgv,,26019100,Horror,95 min,17+,2D,2026-05-17,084d71c7-9314-4a60-ae37-0668a57fa0e2,2026-05-17T06:20:10.861388
6978cb01-f034-4c49-b910-16a221c2739b,PATI PATNI AUR WOH DO,cgv,,26024300,Romance,115 min,17+,2D,2026-05-17,2ca5d734-29be-48bb-b7b9-66a126841794,2026-05-17T06:20:10.861769
6978cb01-f034-4c49-b910-16a221c2739b,TUMBAL PROYEK,cgv,,26014300,Horror,106 min,17+,2D,2026-05-17,4a894ae7-529c-430b-a273-f9e48210ae5a,2026-05-17T06:20:10.862080
6978cb01-f034-4c49-b910-16a221c2739b,IN THE GREY,cgv,,26022600,Action,97 min,13+,2D,2026-05-17,ca4d266f-e5d0-4364-a6cc-3171aa6bf4f6,2026-05-17T06:20:10.862421
