name,chain,city,source,external_id,address,lat,lng,google_maps_url,booking_url,id,created_at
CGV Focal Point,CGV,Medan,cgv,024,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/024,67215f43-78ff-4541-bf8d-5fd4e02745ba,2026-05-27T17:31:50.463414
CGV Rita Supermall,CGV,Purwokerto,cgv,026,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/026,9d7ad2c5-7f43-42b1-b798-8173d16ce908,2026-05-27T17:31:50.463465
CGV Social Market,CGV,Palembang,cgv,027,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/027,5f4d1ed2-ccef-46b3-abbf-24684c68e3a9,2026-05-27T17:31:50.463517
CGV Transmart Palembang,CGV,Palembang,cgv,039,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/039,3fa396a6-ab0c-4c34-9b49-ea82046df5f0,2026-05-27T17:31:50.463570
CGV PTC Mall,CGV,Palembang,cgv,064,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/064,dbcd2a89-aa05-44fe-af67-1af5aea84760,2026-05-27T17:31:50.463621
CGV Depok Mall,CGV,Depok,cgv,030,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/030,ffc4e65f-bd9e-4e51-a72d-e3f27d2bbeab,2026-05-27T17:31:50.463672
CGV DTC Depok,CGV,Depok,cgv,073,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/073,35dfeb74-d7d8-4cf7-a98d-d8f1c0436c9d,2026-05-27T17:31:50.463768
CGV Transmart Tegal,CGV,Tegal,cgv,032,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/032,d0e3010e-98b4-4d94-8def-4086def8c16d,2026-05-27T17:31:50.463871
CGV Transmart Pekanbaru,CGV,Pekanbaru,cgv,033,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/033,0f4bab30-93c6-4ac7-ac76-9caadbb229ca,2026-05-27T17:31:50.463941
CGV Holiday Pekanbaru,CGV,Pekanbaru,cgv,087,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/087,f5caa35f-6e55-4155-a2bd-764a704b4a52,2026-05-27T17:31:50.463997
CGV Studio Pekanbaru,CGV,Pekanbaru,cgv,088,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/088,e9e2a038-8e16-4f4e-b131-2b5f8366dd24,2026-05-27T17:31:50.464051
CGV Transmart Mataram,CGV,Mataram,cgv,034,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/034,9defe5d9-abc5-46e9-8c48-ce74fa157195,2026-05-27T17:31:50.464108
CGV Transmart Solo,CGV,Solo,cgv,041,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/041,71482266-e6fa-4db9-aa46-aeeba83e3c3e,2026-05-27T17:31:50.464162
CGV Transmart Lampung,CGV,Lampung,cgv,043,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/043,baccb006-e370-4952-b300-2618bba06215,2026-05-27T17:31:50.464215
CGV Grand Mall Lampung,CGV,Lampung,cgv,096,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/096,a602b378-dfe8-47be-951a-bb54ba1f663d,2026-05-27T17:31:50.464264
CGV Icon Mall Gresik,CGV,Gresik,cgv,051,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/051,831b7cec-e0fa-4484-8f8d-9ffe54c0e97b,2026-05-27T17:31:50.464314
CGV Vivo Sentul,CGV,Bogor,cgv,052,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/052,dc75dae4-48aa-4152-ad74-6beb504b29c4,2026-05-27T17:31:50.464363
CGV Blitar Square,CGV,Blitar,cgv,053,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/053,81c98b02-7baa-4ce8-b0fc-daf23417f0c7,2026-05-27T17:31:50.464412
CGV Plaza Mulia,CGV,Samarinda,cgv,055,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/055,11474aa2-d7dd-41b6-bbe5-11af8a9be245,2026-05-27T17:31:50.464462
CGV Park Avenue Batam,CGV,Batam,cgv,057,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/057,83a652a5-1ffe-4bed-b344-f3d3a703bda0,2026-05-27T17:31:50.464511
CGV Grand Batam Mall,CGV,Batam,cgv,071,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/071,b7b82a08-4dbe-44ec-bb11-e12892bd2a1e,2026-05-27T17:31:50.464559
CGV Sadang Terminal Square,CGV,Purwakarta,cgv,059,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/059,28746a19-338a-411e-99bc-642ab82d0da6,2026-05-27T17:31:50.464608
CGV Plaza Lawu Madiun,CGV,Madiun,cgv,066,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/066,d01317aa-4a41-4ba8-a67d-38922cafd41d,2026-05-27T17:31:50.464657
CGV Kediri Mall,CGV,Kediri,cgv,067,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/067,74a3181e-c859-4546-9926-758e77f526cc,2026-05-27T17:31:50.464713
CGV Living Plaza Jababeka,CGV,Cikarang,cgv,069,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/069,f48261fd-93f6-4bba-bfcc-a889117980e8,2026-05-27T17:31:50.464761
CGV Wijaya Kusuma,CGV,Probolinggo,cgv,070,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/070,0357c5eb-889e-4a53-a6ca-231c324aa498,2026-05-27T17:31:50.464811
CGV Panakkukang Square,CGV,Makassar,cgv,072,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/072,8adebf7a-cfbd-4a16-a6ae-3dd63e27fdec,2026-05-27T17:31:50.464862
CGV Malang City Point,CGV,Malang,cgv,076,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/076,4009edd7-1ee4-4925-8f41-851cc86eb774,2026-05-27T17:31:50.464912
CGV Roxy Square Jember,CGV,Jember,cgv,077,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/077,a0dc64ec-3b5e-4b0d-9b45-4edc8c32e3f3,2026-05-27T17:31:50.464965
CGV Raya Padang,CGV,Padang,cgv,079,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/079,359be5d9-f39e-4414-81fb-98991f32caed,2026-05-27T17:31:50.465014
CGV Ecoplaza Citra Maja Raya,CGV,Serang,cgv,094,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/094,fdedebae-980c-492d-8823-b085f9228f42,2026-05-27T17:31:50.465064
