cinema_id,title,source,movie_id,movie_code,genre,duration,age_rating,format,show_date,id,created_at
b960dafa-eedd-4016-b479-f2a25d3a0277,STAR WARS: THE MANDALORIAN AND GROGU,cgv,,26021200,Scifi,132 min,TBC,2D,2026-05-21,846f3941-2ca4-4fe0-a6c2-86f18b0a7ff9,2026-05-21T00:27:54.478137
b960dafa-eedd-4016-b479-f2a25d3a0277,STAR WARS: THE MANDALORIAN AND GROGU,cgv,,26021200,Scifi,132 min,TBC,4DX 2D,2026-05-21,d6e63140-1eeb-4f06-b391-af229d78c1a8,2026-05-21T00:27:54.478188
b960dafa-eedd-4016-b479-f2a25d3a0277,STAR WARS: THE MANDALORIAN AND GROGU,cgv,,26021200,Scifi,132 min,TBC,SCREENX 2D,2026-05-21,7ea9a71b-d057-475a-a4e5-8797a82157c6,2026-05-21T00:27:54.478212
b960dafa-eedd-4016-b479-f2a25d3a0277,TUMBAL PROYEK,cgv,,26014300,Horror,106 min,17+,2D,2026-05-21,7052cef2-f71c-42d7-8ef6-cd893d4695fb,2026-05-21T00:27:54.479099
b960dafa-eedd-4016-b479-f2a25d3a0277,THE DEVIL WEARS PRADA 2,cgv,,26019800,Drama,119 min,13+,2D,2026-05-21,df2dc828-51f2-40ed-a60b-a79d8690e358,2026-05-21T00:27:54.479385
b960dafa-eedd-4016-b479-f2a25d3a0277,PEGASUS 3,cgv,,26025100,Action,126 min,13+,2D,2026-05-21,a6ceb645-c68a-4235-bbf1-56c1014bf2c3,2026-05-21T00:27:54.479655
b960dafa-eedd-4016-b479-f2a25d3a0277,GOHAN,cgv,,26022500,Drama,140 min,SU,2D,2026-05-21,dd5cb4d1-235c-4da2-8b71-1db403f015f1,2026-05-21T00:27:54.479893
b960dafa-eedd-4016-b479-f2a25d3a0277,MOBILE SUIT GUNDAM HATHAWAY,cgv,,26021100,Animation,95 min,13+,2D,2026-05-21,9acb2eeb-1365-4527-bb5f-057d335f48ec,2026-05-21T00:27:54.480134
b960dafa-eedd-4016-b479-f2a25d3a0277,GUDANG MERICA,cgv,,26019400,Comedy,98 min,17+,2D,2026-05-21,dccbbd0d-ac91-4675-ae1a-b2a42ceee57e,2026-05-21T00:27:54.480400
b960dafa-eedd-4016-b479-f2a25d3a0277,STAR WARS: THE MANDALORIAN AND GROGU (3D),cgv,,26025200,Scifi,132 min,13+,4DX 3D,2026-05-21,2f35993c-1684-4077-9acb-ae44a23e4c78,2026-05-21T00:27:54.480921
b960dafa-eedd-4016-b479-f2a25d3a0277,STAR WARS: THE MANDALORIAN AND GROGU (3D),cgv,,26025200,Scifi,132 min,13+,SCREENX 3D,2026-05-21,e1ac8e9c-8653-45fa-8136-3759fc11ad41,2026-05-21T00:27:54.480937
b960dafa-eedd-4016-b479-f2a25d3a0277,STAR WARS: THE MANDALORIAN AND GROGU (3D),cgv,,26025200,Scifi,132 min,13+,3D,2026-05-21,8528ccdf-690a-4e9a-92b8-bae7d9e2123a,2026-05-21T00:27:54.480968
b960dafa-eedd-4016-b479-f2a25d3a0277,MORTAL KOMBAT II,cgv,,26018200,Action,116 min,17+,2D,2026-05-21,5158914a-d706-4de1-8209-b0e43ddb6b3f,2026-05-21T00:27:54.481210
